Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-874.371	-1106.01	231.639	0.03845597	1.069949	2.458517
6	-860.3634	-1092.692	232.3282	0.03845597	1.337479	1.833533
12	-878.5743	-1110.848	232.2735	0.04730782	1.211658	1.926662
18	-875.2382	-1107.423	232.1849	0.05433922	1.303355	1.900702
24	-885.9705	-1118.112	232.1419	0.08566319	1.24453	1.868104
30	-866.5067	-1098.315	231.8082	0.07586626	1.068314	2.23534
36	-877.2747	-1109.46	232.1853	0.0401786	1.213043	2.00862
42	-877.1553	-1109.656	232.5004	0.05317711	1.23658	1.733042
48	-883.1446	-1115.582	232.4369	0.0471742	1.239232	1.796556
54	-870.0848	-1102.99	232.9056	0.04433279	1.460033	1.295357
60	-876.7669	-1109.814	233.0475	0.0514436	1.512383	1.09752
66	-873.7977	-1106.661	232.8631	0.05182494	1.444409	1.312049
72	-877.1206	-1109.553	232.4323	0.1022343	1.495447	1.426568
78	-868.045	-1100.407	232.3624	0.04354733	1.259605	1.846316
84	-867.6415	-1100.185	232.5431	0.04305863	1.241462	1.735211
90	-857.4584	-1090.116	232.6572	0.062146	1.414816	1.456233
96	-871.7038	-1104.395	232.6909	0.06922563	1.305237	1.487672
102	-872.9094	-1105.609	232.6997	0.0772259	1.282349	1.469673
108	-867.8473	-1100.111	232.2634	0.05598866	1.334338	1.820154
114	-871.6346	-1104.442	232.8072	0.08478013	1.516039	1.166094
120	-862.3632	-1095.086	232.7228	0.06046712	1.532674	1.319243
126	-866.8571	-1099.664	232.8066	0.06422488	1.305336	1.417864
132	-876.1298	-1108.033	231.9029	0.07104324	1.004893	2.22984
138	-862.1538	-1093.858	231.7039	0.05212131	1.014032	2.41014
144	-869.8952	-1101.043	231.1477	0.1051081	1.325337	2.41014
150	-864.7712	-1097.568	232.7969	0.05340091	1.348629	1.433295
156	-867.2698	-1098.7	231.4305	0.04890612	1.293525	2.41646
162	-856.5396	-1088.153	231.6132	0.04890612	1.231053	2.340351
168	-857.3538	-1089.104	231.7497	0.02782933	1.202233	2.334615
174	-879.7425	-1111.398	231.6552	0.02782933	1.296761	2.334615
180	-870.591	-1102.331	231.7405	0.05571661	1.065181	2.343199
186	-870.8784	-1103.85	232.972	0.03575099	1.407447	1.317986
192	-884.0277	-1116.619	232.5909	0.06609158	1.593424	1.354072
198	-872.3999	-1105.133	232.7328	0.05223731	1.404717	1.443869
204	-873.9169	-1106.69	232.7728	0.03573474	1.417262	1.465873
210	-869.432	-1102.02	232.5881	0.04302804	1.476778	1.533321
216	-865.606	-1097.638	232.0315	0.09388474	1.211357	1.940817
222	-872.5997	-1104.447	231.8468	0.09430581	1.317667	1.992103
228	-873.5845	-1105.102	231.5172	0.06489388	1.129186	2.415323
234	-873.1624	-1104.711	231.5489	0.07277774	1.100907	2.389237
240	-877.461	-1109.725	232.2638	0.06398259	1.05251	1.984289
246	-881.4191	-1114.036	232.6173	0.04281706	1.295293	1.645184
252	-883.6478	-1116.136	232.4882	0.06018996	1.203176	1.740547
258	-862.6496	-1094.858	232.2083	0.07364147	1.187282	1.899681
264	-872.4434	-1104.216	231.7727	0.09107361	1.388498	2.003772
270	-876.1829	-1108.582	232.3996	0.1035873	1.57985	1.382069
276	-863.9815	-1096.58	232.5981	0.08173364	1.507327	1.358143
282	-872.2342	-1104.876	232.6413	0.07644833	1.437599	1.398126
288	-870.2406	-1103.031	232.7904	0.05960933	1.300714	1.451244
294	-855.2527	-1087.948	232.6957	0.07305228	1.330262	1.451244
300	-864.4251	-1096.125	231.7001	0.05335441	1.212686	2.282373
306	-874.0566	-1105.105	231.0482	0.1062515	0.9152888	2.7237
312	-857.9313	-1089.112	231.1809	0.08518265	0.8736243	2.7237
318	-868.6836	-1099.389	230.7052	0.1171808	1.026702	2.837928
324	-867.1774	-1098.044	230.8661	0.1090087	0.8986594	2.837928
330	-882.0113	-1112.195	230.1839	0.1090087	0.8349195	3.283902
336	-880.9312	-1112.045	231.1135	0.09783939	0.8553447	2.742066
342	-881.9731	-1112.621	230.6474	0.09154398	0.8955329	3.016328
348	-882.392	-1114.465	232.0729	0.1094227	1.191903	1.881559
354	-876.0963	-1108.241	232.145	0.0652602	1.317427	1.881559
360	-865.1866	-1097.377	232.1899	0.06575821	1.187324	1.937604
366	-870.661	-1102.132	231.4706	0.1121862	1.108952	2.324265
372	-888.7379	-1120.232	231.4939	0.1875017	1.043913	2.180256
378	-883.6685	-1115.388	231.7193	0.06489181	1.098266	2.306748
384	-869.3683	-1101.238	231.87	0.05091438	1.016923	2.306748
390	-875.3193	-1107.196	231.8766	0.04701395	1.139342	2.236549
396	-881.908	-1113.659	231.7511	0.05644927	1.217561	2.236549
402	-883.4485	-1115.656	232.2077	0.05997009	1.253709	1.899865
408	-876.151	-1107.914	231.7627	0.0968883	1.046128	2.21807
414	-884.6057	-1116.866	232.2605	0.06240419	1.493094	1.688948
420	-888.3501	-1121.096	232.7458	0.06220675	1.422458	1.381724
426	-886.9304	-1119.412	232.4817	0.04069757	1.295983	1.748255
432	-889.783	-1122.511	232.7283	0.1059055	1.548183	1.126452
438	-895.2263	-1128.245	233.019	0.05391901	1.568232	1.060509
444	-914.5265	-1146.606	232.0792	0.09563748	1.010966	2.037718
450	-905.4987	-1137.291	231.792	0.09347576	1.170681	2.127763
456	-889.669	-1121.841	232.1721	0.1054487	1.190704	1.825692
462	-886.1467	-1118.575	232.4281	0.1162875	1.356394	1.491856
468	-892.8607	-1125.098	232.237	0.1223906	1.305073	1.652101
474	-882.628	-1115.361	232.733	0.1418113	1.395212	1.134977
480	-877.3892	-1108.991	231.6014	0.09075752	1.182769	2.251196
486	-874.7698	-1106.251	231.4815	0.1422502	1.000447	2.313413
492	-880.2873	-1111.663	231.3756	0.07020394	0.8923934	2.635257
498	-892.9248	-1124.914	231.9889	0.07036949	1.321013	1.96791
504	-888.2864	-1120.44	232.1537	0.1818771	1.302926	1.563393
510	-893.273	-1125.52	232.2468	0.07404735	1.325045	1.777282
516	-886.5877	-1119.197	232.6094	0.08031706	1.357722	1.470168
522	-883.4915	-1115.892	232.4008	0.05074236	1.357722	1.726537
528	-879.3149	-1112.083	232.7685	0.07147473	1.636469	1.148528
534	-882.08	-1114.274	232.1941	0.09449829	1.400801	1.696027
540	-879.0375	-1111.617	232.5793	0.06351079	1.474653	1.464867
546	-894.0461	-1126.118	232.0718	0.1060721	1.383649	1.759649
552	-879.7442	-1112.064	232.3194	0.06673689	1.411897	1.689785
558	-881.5999	-1113.502	231.9019	0.03291367	1.055485	2.317734
564	-883.7693	-1115.761	231.9913	0.04207922	1.039641	2.242744
570	-890.502	-1122.119	231.6166	0.1020501	0.9282402	2.372818
576	-877.3242	-1109.744	232.4194	0.08449569	1.368014	1.589508
582	-882.2209	-1113.547	231.3265	0.08702089	1.101464	2.48748
588	-883.1266	-1114.477	231.35	0.09627062	1.037294	2.48748
594	-874.9555	-1106.28	231.3243	0.0689611	1.187536	2.48748
600	-867.4615	-1098.904	231.4421	0.09059818	0.9699258	2.48748
606	-867.3474	-1099.009	231.6615	0.06695496	0.9502576	2.430822
612	-864.7439	-1097.064	232.32	0.05168831	1.003849	2.019931
618	-878.9148	-1111.088	232.1733	0.05831287	0.930446	2.143004
624	-868.6051	-1100.583	231.9777	0.07322696	1.126049	2.095643
630	-872.8104	-1104.847	232.0367	0.0678173	1.038063	2.131578
636	-865.2524	-1097.832	232.5799	0.08393508	1.419681	1.432827
642	-863.7293	-1096.559	232.8302	0.05982539	1.399213	1.342704
648	-884.1589	-1117.068	232.909	0.0794311	1.331654	1.257185
654	-879.7793	-1110.559	230.7801	0.09932321	0.9639657	2.874983
660	-880.2928	-1111.132	230.8391	0.06144792	1.079104	2.874983
666	-885.8271	-1117.28	231.453	0.06144792	0.9408804	2.583717
672	-895.5336	-1126.621	231.0871	0.1277924	0.8722122	2.673874
678	-880.5506	-1111.946	231.3952	0.07943891	1.120448	2.454104
684	-895.8325	-1127.013	231.18	0.07808704	1.120448	2.592241
690	-885.723	-1117.221	231.4977	0.04815556	0.9487848	2.592241
696	-883.3025	-1114.586	231.284	0.04520354	0.9929763	2.705839
702	-883.0075	-1114.856	231.8489	0.04505529	1.148911	2.254566
708	-887.5314	-1119.376	231.8449	0.04186873	1.255766	2.19843
714	-887.486	-1119.302	231.8155	0.08074566	1.012114	2.252182
720	-885.9217	-1118.194	232.2725	0.08098125	1.312717	1.745409
726	-884.5094	-1116.748	232.2384	0.04812747	1.205483	1.951688
732	-878.5789	-1110.338	231.759	0.04656414	1.204435	2.271782
738	-872.1077	-1104.239	232.1309	0.05388698	1.205247	2.004427
744	-873.8084	-1106.033	232.2248	0.06052624	1.23641	1.898173
750	-874.3234	-1106.263	231.9398	0.0478814	1.277645	2.102829
756	-873.8116	-1105.438	231.6268	0.06673202	1.100621	2.358419
762	-878.3763	-1110.618	232.2415	0.04986016	1.142283	1.986145
768	-875.6858	-1107.43	231.7439	0.04986016	1.093338	2.341754
774	-880.2507	-1112.365	232.1147	0.05358455	1.047838	2.120057
780	-874.2443	-1106.493	232.2485	0.0727669	1.217112	1.854767
786	-885.4361	-1118.153	232.7169	0.0503655	1.310553	1.533805
792	-887.9424	-1119.772	231.8294	0.06470169	1.207602	2.166003
798	-891.7267	-1122.845	231.1184	0.1227044	1.209067	2.457326
804	-878.3816	-1110.477	232.0954	0.05258429	0.9093129	2.225793
810	-868.062	-1099.812	231.7503	0.08095122	0.9001187	2.364682
816	-870.6718	-1103.322	232.6501	0.04317103	1.133516	1.735539
822	-884.0955	-1116.253	232.1574	0.07090729	1.489084	1.735539
828	-879.3789	-1111.679	232.3003	0.09042301	1.479666	1.575574
834	-870.7792	-1103.008	232.2283	0.02946261	1.152243	2.052813
840	-871.535	-1103.458	231.9226	0.0306669	1.203117	2.216014
